algoritmo,entrada,n,comp,time
tim,asc,32,225,2.5033950805664062e-05
tim,desc,32,480,5.602836608886719e-05
insert,random,32,283,3.719329833984375e-05
insert,asc,32,31,5.7220458984375e-06
insert,desc,32,496,6.222724914550781e-05
merge,random,32,123,5.936622619628906e-05
merge,asc,32,203,4.482269287109375e-05
merge,desc,32,288,4.4345855712890625e-05
tim,random,32,174,4.601478576660156e-05
tim,asc,32,220,2.5272369384765625e-05
tim,desc,32,477,5.650520324707031e-05
insert,random,32,234,3.0994415283203125e-05
insert,asc,32,31,5.7220458984375e-06
insert,desc,32,496,6.246566772460938e-05
merge,random,32,120,5.984306335449219e-05
merge,asc,32,200,4.482269287109375e-05
merge,desc,32,283,4.4345855712890625e-05
tim,random,32,191,4.9114227294921875e-05
tim,asc,32,237,2.5510787963867188e-05
tim,desc,32,493,5.698204040527344e-05
insert,random,32,219,3.123283386230469e-05
insert,asc,32,31,5.9604644775390625e-06
insert,desc,32,495,6.222724914550781e-05
merge,random,32,119,6.008148193359375e-05
merge,asc,32,199,4.57763671875e-05
merge,desc,32,283,4.601478576660156e-05
tim,random,32,143,4.4345855712890625e-05
tim,asc,32,189,2.5987625122070312e-05
tim,desc,32,446,5.841255187988281e-05
insert,random,64,1152,0.00014209747314453125
insert,asc,64,63,8.821487426757812e-06
insert,desc,64,2015,0.0002460479736328125
merge,random,64,302,0.000125885009765625
merge,asc,64,494,0.00010204315185546875
merge,desc,64,694,9.918212890625e-05
tim,random,64,412,0.00010228157043457031
tim,asc,64,536,5.7220458984375e-05
tim,desc,64,1080,0.00011897087097167969
insert,random,64,1123,0.00013875961303710938
insert,asc,64,63,9.298324584960938e-06
insert,desc,64,2012,0.00024819374084472656
merge,random,64,303,0.00018453598022460938
merge,asc,64,495,0.00011301040649414062
merge,desc,64,697,0.00011801719665527344
tim,random,64,385,0.00010347366333007812
tim,asc,64,509,5.936622619628906e-05
tim,desc,64,1050,0.00011944770812988281
insert,random,64,1150,0.00014472007751464844
insert,asc,64,63,9.298324584960938e-06
insert,desc,64,2006,0.0002460479736328125
merge,random,64,305,0.00012373924255371094
merge,asc,64,497,0.00010180473327636719
merge,desc,64,696,0.00010085105895996094
tim,random,64,428,0.00010466575622558594
tim,asc,64,552,5.8650970458984375e-05
tim,desc,64,1089,0.00011801719665527344
insert,random,64,1137,0.00014019012451171875
insert,asc,64,63,9.298324584960938e-06
insert,desc,64,2015,0.0002467632293701172
merge,random,64,313,0.0001251697540283203
merge,asc,64,505,0.00010013580322265625
merge,desc,64,702,0.00010991096496582031
tim,random,64,416,0.00010275840759277344
tim,asc,64,540,5.7697296142578125e-05
tim,desc,64,1083,0.00011968612670898438
insert,random,64,1047,0.00013256072998046875
insert,asc,64,63,9.059906005859375e-06
insert,desc,64,2015,0.00025844573974609375
merge,random,64,298,0.0001239776611328125
merge,asc,64,490,0.00010132789611816406
merge,desc,64,690,9.989738464355469e-05
tim,random,64,414,0.00010228157043457031
tim,asc,64,538,5.7697296142578125e-05
tim,desc,64,1082,0.00017499923706054688
insert,random,64,998,0.00012302398681640625
insert,asc,64,63,9.059906005859375e-06
insert,desc,64,2012,0.0002486705780029297
merge,random,64,293,0.00012111663818359375
merge,asc,64,485,0.00010061264038085938
merge,desc,64,685,9.942054748535156e-05
tim,random,64,411,0.00010204315185546875
tim,asc,64,535,5.817413330078125e-05
tim,desc,64,1077,0.00011849403381347656
insert,random,64,1148,0.000141143798828125
insert,asc,64,63,8.821487426757812e-06
insert,desc,64,2012,0.0002455711364746094
merge,random,64,304,0.00012421607971191406
merge,asc,64,496,0.00010275840759277344
merge,desc,64,696,0.00010013580322265625
tim,random,64,403,0.00010180473327636719
tim,asc,64,527,5.817413330078125e-05
tim,desc,64,1067,0.00011992454528808594
insert,random,64,962,0.00012040138244628906
insert,asc,64,63,9.298324584960938e-06
insert,desc,64,2011,0.00024700164794921875
merge,random,64,300,0.00012540817260742188
merge,asc,64,492,0.00010275840759277344
merge,desc,64,692,0.00010132789611816406
tim,random,64,400,0.00010013580322265625
tim,asc,64,524,5.936622619628906e-05
tim,desc,64,1063,0.0001723766326904297
insert,random,64,1072,0.0001354217529296875
insert,asc,64,63,9.059906005859375e-06
insert,desc,64,2013,0.0002465248107910156
merge,random,64,305,0.0001246929168701172
merge,asc,64,497,0.00010156631469726562
merge,desc,64,700,0.0001010894775390625
tim,random,64,437,0.00010585784912109375
tim,asc,64,561,5.984306335449219e-05
tim,desc,64,1102,0.00011849403381347656
insert,random,64,906,0.00011181831359863281
insert,asc,64,63,9.059906005859375e-06
insert,desc,64,2014,0.00024890899658203125
merge,random,64,306,0.00012159347534179688
merge,asc,64,498,9.965896606445312e-05
merge,desc,64,699,9.870529174804688e-05
tim,random,64,407,0.00010061264038085938
tim,asc,64,531,5.745887756347656e-05
tim,desc,64,1073,0.00011801719665527344
